targeting_oligo,gene,TO_len,replicate,LB,Kan
269,galK,74,1,530000,190
269,galK,74,2,860000,150
269,galK,74,3,1120000,220
264,galK,90,1,970000,28000
264,galK,90,2,400000,7900
264,galK,90,3,930000,9200
270,galK,104,1,920000,25000
270,galK,104,2,940000,22000
270,galK,104,3,1090000,15000
265,galK,120,1,1140000,24000
265,galK,120,2,910000,23000
265,galK,120,3,950000,18000
271,hisA,74,1,810000,230
271,hisA,74,2,890000,150
271,hisA,74,3,1010000,210
272,hisA,90,1,640000,1800
272,hisA,90,2,500000,2400
272,hisA,90,3,820000,3000
273,hisA,104,1,750000,17000
273,hisA,104,2,1130000,24000
273,hisA,104,3,770000,20000
266,hisA,120,1,1900000,27000
266,hisA,120,2,960000,31000
266,hisA,120,3,810000,40000
274,metA,74,1,820000,80
274,metA,74,2,740000,230
274,metA,74,3,740000,19
275,metA,90,1,710000,800
275,metA,90,2,870000,850
275,metA,90,3,790000,580
276,metA,104,1,600000,1200
276,metA,104,2,790000,2500
276,metA,104,3,850000,3400
267,metA,120,1,840000,10700
267,metA,120,2,730000,12800
267,metA,120,3,790000,10200
277,leuD,74,1,1300000,76
277,leuD,74,2,950000,78
277,leuD,74,3,760000,64
278,leuD,90,1,810000,1300
278,leuD,90,2,940000,1260
278,leuD,90,3,750000,1270
279,leuD,104,1,740000,1700
279,leuD,104,2,720000,2200
279,leuD,104,3,1030000,1800
268,leuD,120,1,670000,2800
268,leuD,120,2,570000,1770
268,leuD,120,3,710000,1600
pInt_only,NA,NA,1,1090000,300
pInt_only,NA,NA,2,1190000,250
pInt_only,NA,NA,3,1090000,130