condition,pInt_ng,TO_added,locus,replicate,LB_count,Kan_count
1ng pInt,1,FALSE,pInt_only,1,102000000,7
1ng pInt,1,FALSE,pInt_only,2,70000000,8
10ng pInt,10,FALSE,pInt_only,1,66000000,20
10ng pInt,10,FALSE,pInt_only,2,79000000,20
100ng pInt,100,FALSE,pInt_only,1,68000000,290
100ng pInt,100,FALSE,pInt_only,2,72000000,170
278ng pInt,278,FALSE,pInt_only,1,72000000,280
278ng pInt,278,FALSE,pInt_only,2,62000000,520
1ng pInt + p265,1,TRUE,galK,1,69000000,510
1ng pInt + p265,1,TRUE,galK,2,64000000,800
10ng pInt + p265,10,TRUE,galK,1,58000000,4300
10ng pInt + p265,10,TRUE,galK,2,56000000,8200
100ng pInt + p265,100,TRUE,galK,1,25000000,35000
100ng pInt + p265,100,TRUE,galK,2,24000000,46000
278ng pInt + p265,278,TRUE,galK,1,21000000,75000
278ng pInt + p265,278,TRUE,galK,2,17000000,35000
1ng pInt + p266,1,TRUE,hisA,1,31000000,940
1ng pInt + p266,1,TRUE,hisA,2,26000000,830
10ng pInt + p266,10,TRUE,hisA,1,70000000,22000
10ng pInt + p266,10,TRUE,hisA,2,65000000,22000
100ng pInt + p266,100,TRUE,hisA,1,61000000,97000
100ng pInt + p266,100,TRUE,hisA,2,56000000,NA
278ng pInt + p266,278,TRUE,hisA,1,52000000,180000
278ng pInt + p266,278,TRUE,hisA,2,56000000,420000