condition,TO_conc,locus,replicate,LB_count,Kan_count
4uM galK,4000,galK,1,1300000,570
4uM galK,4000,galK,2,1700000,480
1uM galK,1000,galK,1,1700000,820
1uM galK,1000,galK,2,2500000,920
100nM galK,100,galK,1,2400000,900
100nM galK,100,galK,2,1800000,1300
10nM galK,10,galK,1,1100000,560
10nM galK,10,galK,2,2400000,200
4uM hisA,4000,hisA,1,1700000,1230
4uM hisA,4000,hisA,2,1000000,1000
1uM hisA,1000,hisA,1,1610000,730
1uM hisA,1000,hisA,2,1160000,109
100nM hisA,100,hisA,1,2400000,1600
100nM hisA,100,hisA,2,2500000,4000
10nM hisA,10,hisA,1,2500000,830
10nM hisA,10,hisA,2,1200000,1290
4uM metA,4000,metA,1,2000000,860
4uM metA,4000,metA,2,1700000,930
1uM metA,1000,metA,1,2400000,1800
1uM metA,1000,metA,2,1500000,660
100nM metA,100,metA,1,2200000,1830
100nM metA,100,metA,2,2800000,3800
10nM metA,10,metA,1,1100000,610
10nM metA,10,metA,2,1000000,950
4uM leuD,4000,leuD,1,1700000,330
4uM leuD,4000,leuD,2,1500000,320
1uM leuD,1000,leuD,1,1600000,140
1uM leuD,1000,leuD,2,1400000,160
100nM leuD,100,leuD,1,1500000,480
100nM leuD,100,leuD,2,1600000,280
10nM leuD,10,leuD,1,1800000,80
10nM leuD,10,leuD,2,2600000,180
pInt only,0,none,1,2900000,30
pInt only,0,none,2,1500000,36